instance_name,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,DIAMETER-mean,DIAMETER-coeff-variation,DIAMETER-min,DIAMETER-max,DIAMETER-entropy,DIAMETER-featuretime,cl-num-mean,cl-num-coeff-variation,cl-num-min,cl-num-max,cl-num-q90,cl-num-q10,cl-num-q75,cl-num-q25,cl-num-q50,cl-size-mean,cl-size-coeff-variation,cl-size-min,cl-size-max,cl-size-q90,cl-size-q10,cl-size-q75,cl-size-q25,cl-size-q50,cl-featuretime,SP-bias-mean,SP-bias-coeff-variation,SP-bias-min,SP-bias-max,SP-bias-q90,SP-bias-q10,SP-bias-q75,SP-bias-q25,SP-bias-q50,SP-unconstraint-mean,SP-unconstraint-coeff-variation,SP-unconstraint-min,SP-unconstraint-max,SP-unconstraint-q90,SP-unconstraint-q10,SP-unconstraint-q75,SP-unconstraint-q25,SP-unconstraint-q50,sp-featuretime,vars-reduced-depth-1,vars-reduced-depth-4,vars-reduced-depth-16,vars-reduced-depth-64,vars-reduced-depth-256,unit-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime
track1_088_0_193727611960963020994861118330401483045_1.cnf,4.000000000,5.000000000,4.000000000,5.000000000,0.000000000,0.000000000,0.000000000,0.800000000,0.666666667,0.632455532,0.000000000,1.000000000,0.950270539,0.550000000,0.181818182,0.500000000,0.750000000,0.500402424,0.000000000,0.800000000,1.000000000,0.000000000,0.550000000,0.301511345,0.400000000,0.800000000,1.039720771,0.083333333,0.144337567,0.000000000,0.333333333,0.562335145,0.300000000,0.333333333,0.200000000,0.400000000,0.693147181,0.600000000,0.400000000,0.353553391,0.200000000,0.600000000,0.000000000,0.400000000,0.316227766,0.200000000,0.600000000,0.950270539,0.700000000,0.233284737,0.500000000,1.000000000,0.950270539,0.000000000,2.333333333,0.202030509,2.000000000,3.000000000,0.636514168,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.232670246,0.594165426,0.085063032,0.458186817,0.458186817,0.085063032,0.458186817,0.174148407,0.213282726,0.278745062,0.218342223,0.200986379,0.371193238,0.371193238,0.200986379,0.371193238,0.263795245,0.279005387,0.000000000,0.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,1.000000000,1.000000000,0.020000000
track1_088_0_14842427239597750118261003605486934253_1.cnf,4.000000000,5.000000000,4.000000000,5.000000000,0.000000000,0.000000000,0.000000000,0.800000000,0.666666667,0.632455532,0.000000000,1.000000000,0.950270539,0.550000000,0.181818182,0.500000000,0.750000000,0.500402424,0.000000000,0.800000000,1.000000000,0.000000000,0.550000000,0.301511345,0.400000000,0.800000000,1.039720771,0.083333333,0.144337567,0.000000000,0.333333333,0.562335145,0.300000000,0.333333333,0.200000000,0.400000000,0.693147181,0.600000000,0.400000000,0.353553391,0.200000000,0.600000000,0.000000000,0.400000000,0.316227766,0.200000000,0.600000000,0.950270539,0.700000000,0.233284737,0.500000000,1.000000000,0.950270539,0.000000000,2.333333333,0.202030509,2.000000000,3.000000000,0.636514168,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.232670246,0.594165426,0.085063032,0.458186817,0.458186817,0.085063032,0.458186817,0.174148407,0.213282726,0.278745062,0.218342223,0.200986379,0.371193238,0.371193238,0.200986379,0.371193238,0.263795245,0.279005387,0.000000000,0.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,1.000000000,1.000000000,0.020000000
track1_088_1_99239501387619653765564495338444035535_1.cnf,56.000000000,86.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000
track1_088_2_141051086139825355308356205007616035808_1.cnf,56.000000000,86.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000
track1_088_6_182444990447832690271955144849350139872_1.cnf,3728.000000000,9842.000000000,3728.000000000,9842.000000000,0.000000000,0.000000000,0.000000000,0.378784800,0.707308813,0.599219761,0.000000000,1.000000000,0.856628058,0.000707858,13.181344857,0.000536481,0.926233906,0.601582560,0.000000000,0.711643975,0.999898395,0.020000000,0.000707858,0.825775058,0.000203211,0.028347897,1.721569145,0.077059870,0.125415496,0.000000000,0.500000000,1.081836468,0.000399608,1.296538957,0.000000000,0.026823816,1.687050337,0.715809795,0.324960503,0.281561000,0.000304816,0.351249746,0.020000000,0.001338255,5.778681696,0.000203211,0.732269864,2.461967137,0.358132782,0.424659402,0.001202740,0.833333333,3.141934249,1.360000000,4.074590824,0.065227665,4.000000000,6.000000000,0.267760926,0.760000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.365537758,0.531550392,0.000025745,0.998645602,0.612940601,0.102069854,0.496546828,0.209091914,0.363630637,0.085519977,0.860459686,0.000000000,0.327074895,0.229615375,0.025162746,0.084069172,0.038509328,0.062550824,0.140000000,0.392703863,0.876072961,0.884388412,0.884388412,0.884388412,0.000000000,0.389918864,0.997348809,2.000000000
track1_088_3_87422376703409119816753103394709790130_1.cnf,56.000000000,86.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000
track1_088_8_316847745263366947865268460230933523694_1.cnf,155.000000000,272.000000000,155.000000000,272.000000000,0.000000000,0.000000000,0.000000000,0.569852941,0.508578431,0.874134373,0.000000000,1.000000000,1.069658380,0.014634725,0.195345227,0.012903226,0.019354839,0.581643245,0.000000000,0.731617647,1.000000000,0.000000000,0.014634725,0.444350380,0.003676471,0.033088235,1.570083569,0.116333845,0.156484469,0.000000000,1.000000000,1.141418116,0.008847249,0.485291720,0.003676471,0.018382353,1.293417662,0.683823529,0.011574953,0.391581150,0.003676471,0.025735294,0.000000000,0.014624784,0.414043933,0.003676471,0.033088235,1.601009162,0.453504318,0.321521198,0.200000000,1.000000000,1.613358330,0.000000000,16.181818182,0.467436566,8.000000000,32.000000000,2.944096239,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.383459754,0.858079404,0.010843189,1.000000000,0.845794680,0.050279605,0.774182187,0.062716694,0.228367739,0.215516260,0.792793007,0.018796288,0.892626143,0.442850395,0.052717286,0.415099773,0.093407351,0.129876787,0.000000000,0.070967742,0.187096774,0.187096774,0.187096774,0.187096774,0.000000000,0.978701935,0.999380188,0.520000000
track1_088_0_53667111522537964897799312629468168233_1.cnf,4.000000000,5.000000000,4.000000000,5.000000000,0.000000000,0.000000000,0.000000000,0.800000000,0.666666667,0.632455532,0.000000000,1.000000000,0.950270539,0.550000000,0.181818182,0.500000000,0.750000000,0.500402424,0.000000000,0.800000000,1.000000000,0.000000000,0.550000000,0.301511345,0.400000000,0.800000000,1.039720771,0.083333333,0.144337567,0.000000000,0.333333333,0.562335145,0.300000000,0.333333333,0.200000000,0.400000000,0.693147181,0.600000000,0.400000000,0.353553391,0.200000000,0.600000000,0.000000000,0.400000000,0.316227766,0.200000000,0.600000000,0.950270539,0.700000000,0.233284737,0.500000000,1.000000000,0.950270539,0.000000000,2.333333333,0.202030509,2.000000000,3.000000000,0.636514168,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.232670246,0.594165426,0.085063032,0.458186817,0.458186817,0.085063032,0.458186817,0.174148407,0.213282726,0.278745062,0.218342223,0.200986379,0.371193238,0.371193238,0.200986379,0.371193238,0.263795245,0.279005387,0.000000000,0.000000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,1.000000000,1.000000000,0.020000000
track1_088_7_183333079980252467119924521322806062939_1.cnf,3973.000000000,10077.000000000,3973.000000000,10077.000000000,0.000000000,0.000000000,0.020000000,0.394264166,0.715986901,0.589713996,0.000000000,1.000000000,0.836483527,0.000666976,13.893614037,0.000503398,0.930782784,0.596856883,0.000000000,0.716780788,0.999900764,0.000000000,0.000666976,0.803626142,0.000198472,0.025702094,1.734627401,0.089139823,0.132868798,0.000000000,0.500000000,1.112732197,0.000371167,1.184354670,0.000000000,0.021931130,1.719682992,0.713803711,0.341553476,0.272188229,0.000297708,0.367371241,0.020000000,0.001222501,6.231840248,0.000198472,0.739108862,2.464673883,0.367403180,0.427095378,0.001164128,1.000000000,3.168135386,1.400000000,4.065961732,0.063011182,3.000000000,5.000000000,0.262744118,0.820000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.352126816,0.574799209,0.000059366,0.987703152,0.613084878,0.073325767,0.495421183,0.173373579,0.357240860,0.097514524,0.867313665,0.000000000,0.341789830,0.276210535,0.027582961,0.096382114,0.052652212,0.063276760,0.120000000,0.192298012,0.220991694,0.346337780,0.346337780,0.346337780,0.000000000,0.465328184,0.998923292,2.000000000
track1_088_1_172094502723074000631977177936504288888_1.cnf,5.000000000,7.000000000,5.000000000,7.000000000,0.000000000,0.000000000,0.000000000,0.714285714,0.476190476,0.979795897,0.000000000,1.000000000,1.004242473,0.428571429,0.163299316,0.400000000,0.600000000,0.410116318,0.000000000,0.857142857,1.000000000,0.000000000,0.428571429,0.421637021,0.285714286,0.714285714,0.950270539,0.040000000,0.080000000,0.000000000,0.200000000,0.500402424,0.285714286,0.547722558,0.142857143,0.571428571,1.054920168,0.714285714,0.285714286,0.447213595,0.142857143,0.428571429,0.000000000,0.367346939,0.283278862,0.285714286,0.571428571,0.955699891,0.580952381,0.178455255,0.400000000,0.666666667,0.955699891,0.000000000,2.750000000,0.157459164,2.000000000,3.000000000,0.562335145,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.363897242,0.862711026,0.061251462,0.766400285,0.766400285,0.061251462,0.721362424,0.076800508,0.193671531,0.224214653,0.417999157,0.091918862,0.373533824,0.373533824,0.091918862,0.267444360,0.179319640,0.208856578,0.000000000,0.000000000,0.600000000,0.600000000,0.600000000,0.600000000,0.000000000,1.000000000,1.000000000,0.020000000
